SMILES,Cid
OCCC(O)C,Cid1
OCCCCO,Cid2
OCCC(C)CO,Cid3
O=C(OCCCC)CC,Cid4
O=C(OCCC)CC,Cid5
OC(C)CC(O)C,Cid6
OCCOCCOCCOCCO,Cid7
OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1(O))C(O)CO,Cid8
O=C(OCCCCC)CCC,Cid9
O(C)C(OC)C,Cid10
O=C(OCCCCCCCCCCC(C)C)c1ccccc1(C(=O)OCCCCCCCCCCC(C)C),Cid11
OCCCCCCCCCCC,Cid12
O=C(OCCC(C)CCC)c1ccccc1(C(=O)OCCC(C)CCC),Cid13
OC(C)COC,Cid14
O=C(C)CO,Cid15
O=CC(C)C,Cid16
OCCCCCCCCCCCCCCCC,Cid17
OCC(CO)(CO)CC,Cid18
O=C(OCCOCCOCC)C,Cid19
O=C(OCC)C,Cid20
OCCC,Cid21
O=CCCCCCCCCCCC,Cid22
O(CCCCCC)CCCCCC,Cid23
OCC(OCC)C,Cid24
O=C(OCCC(OC)C)C,Cid25
OCCC(C)CCO,Cid26
O=C(C)CC,Cid27
OC(CC(C)C)CC(CC(C)C)CC(C)C,Cid28
O=C(O)CCOCC,Cid29
O=C(O)C(N)CCC(=O)N,Cid30
O(C)C(C=CC)C,Cid31
O=S(C)C(C)(C)CO,Cid32
C=CCC,Cid33
OCC(CO)(CO)CO,Cid34
O=C(OCC(OC(=O)C)C)C,Cid35
O=C(OCC(O)CO)CCCCCCCCCCC,Cid36
O=C(C)CCC,Cid37
O=C(OC)CCCCCCC,Cid38
OCCCOCCOCC,Cid39
O=C(OCCC(C)CCC=C(C)C)C,Cid40
OCCCCCCCCCC,Cid41
c1cc(c(c(c1C)C)C)C,Cid42
c1ccc(cc1)C(C)C,Cid43
O=C(OCC1OC1)CCCCCCCC=CCCCCCCCC,Cid44
c1ccc2c(c1)CCCC2,Cid45
O=C(OCCCC)CCCCC(=O)OCCCC,Cid46
O=C(OCCCC)CCCCCCCCC(=O)OCCCC,Cid47
OCCOCCN,Cid48
c1cc(ccc1C)C,Cid49
O=CCC,Cid50
c1ccc(c(c1)C)C(C)C,Cid51
N#CCCOCCOCCO,Cid52
O=C(C)CC(C)C,Cid53
O=C(OC(C=C)(C)CCC=C(C)C)C,Cid54
O=S(=O)(O)c2c(O)ccc1ccccc12,Cid55
c1ccc(cc1)C(C)CC,Cid56
O(C)CCOCCOCCOC,Cid57
O=CC=CCCCCCCC,Cid58
OCCCCCCCC(C)C,Cid59
O=C(OC(=O)C=CCCCCCCCCC)C=CCCCCCCCCC,Cid60
O=C(C)CC(OC)OC,Cid61
c1ccc(cc1)CC,Cid62
c1cc(ccc1C)CC,Cid63
O=C(OCCCCCCCC(C)C)CCCCC(=O)OCCCCCCCC(C)C,Cid64
O=C(O)CCCO,Cid65
O=CC(CC)CCCC,Cid66
O=C(OCC(O)C1OCC(O)C1(O))CCCCCCCCCCC,Cid67
O=C(O)CCCCCCCC(=O)C,Cid68
O=CCC(C)CC(C)(C)C,Cid69
O=C(OCCCC)CCCCCCCCC=C,Cid70
O=C(OC1CCCCC1C(C)(C)C)C,Cid71
OCCC(C)CCC=C(C)C,Cid72
O=S(=O)(O)c1ccc(cc1(N))C,Cid73
O=C(OC)C,Cid74
OCC(N)(C)C,Cid75
OCC1OC(OC1)(C)C,Cid76
O=C(OCCCC)C1CC1(OCCCC),Cid77
OC(CC(C)C)CC(C)C,Cid78
O=C(OCC)C1CCCCC1,Cid79
O=C(OC1(C)(CCOC(CCC)C1))C,Cid80
OCCOC=C,Cid81
OC(C)CN,Cid82
N#CCC(=O)OCCCCCC,Cid83
C1=CCC(=C(C)C1)C(C)C,Cid84
O=C(O)CN(C)C,Cid85
CC(C)Cl,Cid86
C1=C(C)CC=C(C1)C(C)C,Cid87
OC(C)C(C)CCCC(OC)(C)C,Cid88
OCC(CO)(CC)CC,Cid89
O(C)C(OC)CC(OC)C,Cid90
O=C(O)CCC,Cid91
OC(OCCCC)CC,Cid92
O(C=C)CCOCCOC=C,Cid93
O=C(O)CCCCCCC,Cid94
O=C(OOC(C)(C)C)OCC(CC)CCCC,Cid95
O=C(OCCOCCOCCOC(=O)C(CC)CC)C(CC)CC,Cid96
O=C(OCC(OC(=O)C)COC(=O)C)C,Cid97
OC(C)COC(C)COCCC,Cid98
O=C(O)CCCCC,Cid99
OCCCOC(C)C,Cid100
O=C(O)CCCCCCCCCCC,Cid101
OCCOCCOCCCN,Cid102
C=CC=CC=CCCCCC,Cid103
OCCC(C)C,Cid104
c1cc(cc(c1)C(C)C)C(C)C,Cid105
O=C(CC(C)C)CC(C)C,Cid106
O=C(OC=C)CC,Cid107
O=C(OOC(C)(C)C)C,Cid108
O=C(OCCc1ccccc1)CC,Cid109
O=C(C#CCCCCC)OC,Cid110
OCC=C(C)C,Cid111
C1=CC(CC=C1C)C(C)C,Cid112
O=C(OC)C1CCCCC1,Cid113
OC(COCC)COC(C)C,Cid114
OC1(CC=C(C)CC1)C(C)C,Cid115
OCCC1=CCC2CC1C2(C)(C),Cid116
O=S(=O)(O)c1ccc(N)cc1,Cid117
O=C(O)CCCCCCCC=CCCCCCCCC,Cid118
C=Cc1ccc(cc1)Cl,Cid119
O=C1NCCCCC1,Cid120
O=C(O)c1ncccc1(C(=O)O),Cid121
O=C(O)C(=O)C(O)C(=O)O,Cid122
O(CCOCCCC)CCOCCCC,Cid123
O1C(C)C1C,Cid124
OCCN1CCCCC1,Cid125
O=C1OC(C)CC1,Cid126
O=C(NC)C,Cid127
O=C(O)CCCCC(=O)O,Cid128
O=C(O)CCCCC(=O)O,Cid129
OCC(C)CC,Cid130
O=C(O)CC(=O)O,Cid131
O(C=C)CCCCCCCCCC,Cid132
C=C(c1ccccc1)C,Cid133
Oc1c(ncc(c1CO)CO)C,Cid134
OC(C)(C)CC,Cid135
OCCCOCCOCCCC,Cid136
O(CC)C(OCC)C=CCCC,Cid137
O=C(OC1CCCCC1)CCCCC(=O)OC2CCCCC2,Cid138
O=C(O)C,Cid139
O=C(OOC(C)(C)C)C(C)(C)C,Cid140
O=C(OCCOCCCC)c1ccccc1(C(=O)OCCOCCCC),Cid141
O=C(O)C,Cid142
O=C(C=CC1C(C=C(C)CC1(C))C)C,Cid143
O=Cc1c(O)c(ncc1CO)C,Cid144
OC(C)COC(C)COC(C)COCCCC,Cid145
O=C(O)C(C)(C)C,Cid146
N#Cc1cccc(c1)C,Cid147
O=P(O)(O)OCC3OC(n2cnc1c(ncnc12)N)C(O)C3(O),Cid148
O=C(C=C(C)C)C,Cid149
O=C1OCCC1,Cid150
OC(C)(C)CCCC,Cid151
O=C(OCC=Cc1ccccc1)CC(C)C,Cid152
O=C(OCc1ccccc1)c2ccccc2(C(=O)OCCCC),Cid153
OCCOCCOCCCCCCC,Cid154
O=C(OCCCc1ccccc1)C,Cid155
O=C(O)C(CCC)CCC,Cid156
OCC1=CCC(C(=C)C)CC1,Cid157
O=C(O)C(CCC)CCC,Cid158
O=C1NC=C(F)C(=O)N1,Cid159
OCC1(CO)(CC=CCC1),Cid160
O=C(O)C(C)(Cl)Cl,Cid161
O=C(O)C=CC(=O)O,Cid162
O1CCN(C)CC1,Cid163
O=C(OOC(=O)OCC(CC)CCCC)OCC(CC)CCCC,Cid164
O(CC)[Si](OCC)(OCC)CCCCC,Cid165
OC(C)CN(CC(O)C)CC(O)C,Cid166
N#CCc1ccccc1,Cid167
OCC(CO)(CC)CCCC,Cid168
OC(C)CCCCC,Cid169
FC(F)(C(Cl)Cl)Cl,Cid170
OCCN(C)CCO,Cid171
CCCCS,Cid172
O=C(OC)C=C1CCCC1,Cid173
O=C(OCC)CC(O)(C(=O)OCC)CC(=O)OCC,Cid174
O=C(OC)c1ccc(cc1)C(=O)OC,Cid175
N1CCNCC1,Cid176
O=C(OC)C=Cc1ccccc1,Cid177
OCC(O)C1CC=CCC1,Cid178
O=S(=O)(O)c1ccc2ccccc2(c1),Cid179
O=C1C(=CCC1)CCCCC,Cid180
c1ccc(cc1)C=CCl,Cid181
C1=CC2CCC1C2,Cid182
O=CC=CCCC,Cid183
O=C(OC(C)CC(C)C)C=CC(=O)OC(C)CC(C)C,Cid184
O=C(OC1CC2CC1C3CC=CC23)C,Cid185
OCCc1ccncc1,Cid186
O=C(O)CC(C)CC(C)C,Cid187
O=CC(=Cc1ccccc1)CCCCC,Cid188
O=C1c3cccc(c3(C(=O)c2cccc(c12)S(=O)(=O)O))S(=O)(=O)O,Cid189
O=C(O)CCC(NC(=O)c1ccccc1)C(=O)N(CCC)CCC,Cid190
O=C(OC)CCCCCCCC=CC,Cid191
O=C(O)c1ccc(N)cc1,Cid192
O=C(OCCCOCCCOC(=O)c1ccccc1)c2ccccc2,Cid193
O=C(O)c1ccccc1(N),Cid194
O=C(OCCSCC)C(=C)C,Cid195
O=C(OCC1=CCC2CC1C2(C)(C))C,Cid196
O=C(OC)Nc1nc2ccccc2([nH]1),Cid197
O=C(OCCO)C(=C)C,Cid198
O=C(O)C1(C)(CC=CCC1),Cid199
